Time Stamp          EXEC TI BUSFR BUSHR BUSDH BUSSD IDLFR IDLHR IDLSD BLTSL GPRST BUDTF BUDTH IDDTH DAPSI BUSDF BUDF8
2017-11-23 02:23:00   0.311 00000 00000 00000 00000 00520 00000 00260 00128 00455 00000 00000 00000 00000 00000 00000
2017-11-23 02:23:15   0.315 00000 00000 00000 00000 00520 00000 00260 00128 00455 00000 00000 00000 00000 00000 00000
2017-11-23 02:23:30   0.319 00000 00000 00000 00000 00520 00000 00260 00128 00455 00000 00000 00000 00000 00000 00000
2017-11-23 02:23:45   0.324 00000 00000 00000 00000 00520 00000 00256 00136 00448 00000 00000 00000 00000 00000 00000
2017-11-23 02:24:00   0.328 00000 00000 00000 00000 00512 00000 00256 00128 00448 00000 00000 00000 00000 00000 00000
2017-11-23 02:24:15   0.332 00000 00000 00000 00000 00512 00000 00256 00128 00448 00000 00000 00000 00000 00000 00000
2017-11-23 02:24:30   0.336 00000 00000 00000 00000 00512 00000 00256 00128 00448 00000 00000 00000 00000 00000 00000
2017-11-23 02:24:45   0.340 00000 00000 00000 00000 00512 00000 00256 00128 00448 00000 00000 00000 00000 00000 00000
2017-11-23 02:25:00   0.344 00000 00000 00000 00000 00504 00000 00252 00144 00441 00000 00000 00000 00000 00000 00000
2017-11-23 02:25:15   0.349 00000 00000 00000 00000 00504 00000 00252 00128 00441 00000 00000 00000 00000 00000 00000
2017-11-23 02:25:30   0.353 00000 00000 00000 00000 00504 00000 00252 00128 00441 00000 00000 00000 00000 00000 00000
2017-11-23 02:25:45   0.357 00000 00000 00000 00000 00504 00000 00252 00128 00441 00000 00000 00000 00000 00000 00000
2017-11-23 02:26:00   0.361 00000 00000 00000 00000 00497 00000 00248 00136 00441 00000 00000 00000 00000 00000 00000
2017-11-23 02:26:15   0.365 00000 00000 00000 00000 00496 00000 00248 00128 00434 00000 00000 00000 00000 00000 00000
2017-11-23 02:26:30   0.369 00000 00000 00000 00000 00496 00000 00248 00128 00434 00000 00000 00000 00000 00000 00000
2017-11-23 02:26:45   0.374 00000 00000 00000 00000 00496 00000 00248 00128 00434 00000 00000 00000 00000 00000 00000
2017-11-23 02:27:00   0.378 00000 00000 00000 00000 00496 00000 00248 00128 00434 00000 00000 00000 00000 00000 00000
2017-11-23 02:27:15   0.382 00000 00000 00000 00000 00488 00000 00244 00128 00427 00000 00000 00000 00000 00000 00000
2017-11-23 02:27:30   0.386 00000 00000 00000 00000 00488 00000 00244 00128 00427 00000 00000 00000 00000 00000 00000
2017-11-23 02:27:45   0.390 00000 00000 00000 00000 00488 00000 00244 00128 00427 00000 00000 00000 00000 00000 00000
2017-11-23 02:28:00   0.394 00000 00000 00000 00000 00488 00000 00244 00128 00427 00000 00000 00000 00000 00000 00000
2017-11-23 02:28:15   0.399 00000 00000 00000 00000 00480 00000 00240 00144 00420 00000 00000 00000 00000 00000 00000
2017-11-23 02:28:30   0.403 00000 00000 00000 00000 00480 00000 00240 00128 00420 00000 00000 00000 00000 00000 00000
2017-11-23 02:28:45   0.407 00000 00000 00000 00000 00480 00000 00240 00128 00420 00000 00000 00000 00000 00000 00000
2017-11-23 02:29:00   0.411 00000 00000 00000 00000 00480 00000 00240 00128 00420 00000 00000 00000 00000 00000 00000
2017-11-23 02:29:15   0.415 00000 00000 00000 00000 00472 00000 00236 00144 00413 00000 00000 00000 00000 00000 00000
2017-11-23 02:29:30   0.419 00000 00000 00000 00000 00472 00000 00236 00128 00413 00000 00000 00000 00000 00000 00000
2017-11-23 02:29:45   0.424 00000 00000 00000 00000 00472 00000 00236 00128 00413 00000 00000 00000 00000 00000 00000
